#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.553424 0.039138 403 117 99 351 153 66 0.846154 754 643.401509
0.050000 0.575375 0.039000 454 152 200 292 118 117 0.878016 746 629.157051
0.100000 0.572678 0.040614 462 153 183 294 118 99 0.881614 756 636.097428
0.150000 0.558913 0.042019 526 201 261 250 95 120 0.905928 776 653.833651
0.200000 0.560079 0.039394 426 196 153 252 129 83 0.885693 678 583.056292
0.250000 0.568025 0.037344 482 122 234 313 106 123 0.883648 795 658.684723
0.300000 0.551794 0.041374 453 155 93 279 114 50 0.887295 732 616.509621
0.350000 0.552549 0.044608 464 162 170 255 108 72 0.894298 719 606.592320
0.400000 0.556373 0.037762 467 172 241 307 146 132 0.885013 774 635.752981
0.450000 0.538805 0.043815 504 163 181 281 120 82 0.894904 785 649.171011
0.500000 0.546994 0.042930 495 211 179 281 120 99 0.891108 776 658.868961
0.550000 0.551834 0.039760 487 168 94 217 92 30 0.909091 704 599.861458
0.600000 0.550185 0.040962 454 200 139 230 115 56 0.900585 684 588.513023
0.650000 0.536723 0.039668 474 173 145 255 104 73 0.898491 729 616.186288
0.700000 0.546838 0.038953 500 213 181 242 114 78 0.906334 742 631.731655
0.750000 0.542524 0.043374 496 197 122 224 96 43 0.909028 720 614.757079
0.800000 0.547990 0.036722 525 161 175 236 103 70 0.909987 761 643.151478
0.850000 0.536950 0.042232 469 185 62 231 123 21 0.899286 700 586.478981
0.900000 0.539473 0.042106 466 216 62 210 109 22 0.906805 676 567.227763
0.950000 0.538737 0.038608 515 224 124 209 92 38 0.915055 724 623.503961
