#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.539326 0.051109 380 154 69 339 138 85 0.844228 719 615.304968
0.050000 0.540303 0.047926 479 160 93 253 96 37 0.903689 732 608.863308
0.100000 0.527071 0.041555 511 184 213 236 113 76 0.904953 747 625.194561
0.150000 0.508879 0.048681 500 201 130 245 121 53 0.906040 745 644.498699
0.200000 0.513672 0.045188 524 197 182 247 111 81 0.900778 771 642.336595
0.250000 0.502742 0.048990 548 166 115 268 92 47 0.900735 816 694.782603
0.300000 0.499715 0.048262 496 227 31 241 129 13 0.902307 737 625.850705
0.350000 0.501216 0.045814 497 164 42 227 86 18 0.908840 724 611.372826
0.400000 0.511343 0.041619 481 240 104 207 117 37 0.913517 688 590.021233
0.450000 0.485837 0.042943 498 230 135 223 102 63 0.911928 721 603.824697
0.500000 0.484198 0.050141 463 259 84 194 124 30 0.917047 657 573.554830
0.550000 0.484877 0.042907 462 221 72 182 95 29 0.921584 644 564.990724
0.600000 0.489872 0.042211 490 198 68 197 89 28 0.917758 687 598.840011
