#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.525294 0.047531 401 182 57 310 146 37 0.854430 711 604.158542
0.050000 0.546026 0.038266 458 140 103 294 116 53 0.881649 752 627.238402
0.100000 0.520404 0.046560 485 218 99 196 97 25 0.913363 681 586.072282
0.150000 0.512764 0.041185 489 196 126 294 141 53 0.890805 783 657.472500
0.200000 0.522455 0.042716 515 207 124 208 86 40 0.919087 723 620.409621
0.250000 0.515479 0.045464 485 171 87 221 90 28 0.907932 706 598.117451
0.300000 0.495446 0.045442 521 176 122 279 126 50 0.899375 800 664.280380
0.350000 0.499692 0.042477 510 235 90 204 116 31 0.914566 714 610.323892
0.400000 0.486421 0.058929 492 244 113 202 110 45 0.914265 694 592.235513
0.450000 0.492389 0.045576 472 183 59 219 100 26 0.910275 691 594.802001
0.500000 0.472221 0.049860 495 260 69 170 104 16 0.926316 665 571.703857
0.550000 0.470653 0.047902 541 216 129 221 96 42 0.916010 762 637.472792
0.600000 0.478894 0.054467 459 134 0 266 96 0 0.886897 725 598.882412
