#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.538283 0.046747 407 129 39 302 117 34 0.860367 709 603.020787
0.050000 0.540064 0.047565 419 211 84 278 129 59 0.884505 697 600.215759
0.100000 0.521137 0.041806 465 195 100 203 100 45 0.910928 668 581.787208
0.150000 0.508438 0.042518 498 198 113 216 105 33 0.911765 714 616.381221
0.200000 0.512577 0.050862 502 180 105 199 101 29 0.917974 701 591.202904
0.250000 0.526100 0.038282 514 147 0 235 83 0 0.903872 749 629.618601
0.300000 0.512158 0.043716 487 174 84 243 96 36 0.900685 730 622.840752
0.350000 0.491770 0.044885 502 221 67 203 96 33 0.914894 705 616.989391
0.400000 0.496799 0.044658 510 177 65 158 70 19 0.935629 668 576.482320
0.450000 0.491267 0.051782 488 247 62 167 95 13 0.925191 655 578.849171
0.500000 0.495026 0.046754 494 199 72 201 99 18 0.917266 695 595.041347
0.550000 0.473722 0.052224 505 201 110 204 98 41 0.918195 709 608.013342
0.600000 0.471965 0.049223 498 188 53 268 122 26 0.900131 766 629.304463
0.650000 0.491774 0.044846 482 260 128 184 107 46 0.919670 666 582.904199
0.700000 0.467051 0.052980 484 220 106 230 110 39 0.908964 714 618.808546
0.750000 0.494176 0.044503 495 159 46 267 110 16 0.899606 762 651.802311
0.800000 0.479695 0.048498 496 287 125 149 86 25 0.935659 645 568.896833
0.850000 0.467046 0.050058 533 200 5 204 81 3 0.917232 737 624.762864
0.900000 0.484146 0.037615 535 165 1 214 68 1 0.917223 749 633.985562
0.950000 0.490960 0.038109 483 206 38 174 76 15 0.925419 657 562.708730
