#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.540111 0.046184 387 110 13 377 121 6 0.836387 764 650.551832
0.050000 0.539902 0.042367 474 109 36 277 90 29 0.890146 751 614.095048
0.100000 0.528361 0.052444 521 167 96 243 87 29 0.905105 764 640.217096
0.150000 0.518290 0.043692 492 147 198 300 112 99 0.886364 792 661.563432
0.200000 0.524914 0.039983 500 217 75 203 111 32 0.918919 703 590.180018
0.250000 0.493066 0.049212 501 177 30 253 103 13 0.904509 754 626.607151
0.300000 0.499111 0.044746 496 176 106 215 93 35 0.913502 711 602.192382
0.350000 0.500761 0.036734 530 194 32 237 101 13 0.910691 767 662.167139
0.400000 0.494970 0.048147 470 233 112 198 112 45 0.916168 668 583.615696
0.450000 0.502745 0.045063 507 206 59 223 109 30 0.908219 730 618.297295
0.500000 0.496674 0.045329 523 214 82 185 83 26 0.925141 708 596.197398
0.550000 0.461888 0.052958 486 169 36 194 83 11 0.916912 680 585.435337
0.600000 0.476272 0.054009 448 281 98 166 97 41 0.922638 614 539.976898
0.650000 0.482305 0.048706 513 212 46 193 104 8 0.923513 706 600.564220
0.700000 0.486465 0.042706 504 217 75 195 100 21 0.923462 699 607.493920
0.750000 0.478479 0.049608 489 195 67 210 102 29 0.913448 699 602.235583
0.800000 0.474885 0.044599 519 205 44 191 84 18 0.925352 710 609.292626
0.850000 0.473673 0.043949 510 224 64 157 66 16 0.936282 667 587.102623
0.900000 0.476268 0.045881 522 207 184 189 91 51 0.922644 711 603.897328
0.950000 0.485016 0.044884 477 237 71 197 108 26 0.919139 674 585.031829
