#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.537478 0.044473 430 118 130 317 91 98 0.849398 747 631.496949
0.050000 0.541838 0.046089 460 159 196 284 133 104 0.882392 744 619.364930
0.100000 0.530559 0.042033 488 249 110 206 112 40 0.913545 694 598.708953
0.150000 0.515214 0.049735 428 139 56 240 101 16 0.895958 668 565.807338
0.200000 0.525440 0.041071 487 178 58 235 102 19 0.898892 722 620.117149
0.250000 0.498632 0.049291 509 178 9 224 104 5 0.912005 733 614.997046
0.300000 0.490476 0.047820 524 190 79 250 107 36 0.905685 774 656.597834
0.350000 0.505400 0.041352 478 244 111 234 130 44 0.907303 712 605.852600
