#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.647819 0.040516 90 20 8 658 131 114 0.546791 748 623.270934
0.050000 0.714799 0.039062 97 23 39 684 171 246 0.560819 781 639.186357
0.100000 0.739177 0.031493 143 26 65 602 133 238 0.667785 745 618.379312
0.150000 0.755619 0.033843 143 30 32 618 142 217 0.622865 761 620.067552
0.200000 0.766535 0.030636 166 43 104 621 180 346 0.657560 787 646.227458
0.250000 0.773092 0.031858 162 38 88 607 141 331 0.661899 769 632.716405
0.300000 0.772037 0.032645 160 31 58 613 130 151 0.668176 773 636.925112
0.350000 0.780465 0.026364 165 35 101 614 142 364 0.664313 779 639.438747
