#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.546330 0.046386 427 166 106 367 135 102 0.841310 794 668.898073
0.050000 0.579111 0.039003 453 159 180 230 86 100 0.898975 683 572.129628
0.100000 0.577030 0.041033 473 180 182 303 119 111 0.876933 776 655.290399
0.150000 0.566432 0.042010 473 145 187 248 109 75 0.895978 721 609.860437
0.200000 0.557503 0.047940 473 193 186 237 104 80 0.906338 710 606.318127
0.250000 0.568319 0.044510 482 148 137 292 101 74 0.886305 774 644.247886
0.300000 0.555974 0.046275 468 181 220 229 112 86 0.901004 697 605.291604
0.350000 0.552507 0.043122 502 133 66 243 92 21 0.904027 745 622.634633
