#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.542647 0.046660 424 169 65 349 130 69 0.849288 773 655.199720
0.050000 0.541959 0.044708 461 190 127 273 139 60 0.888965 734 623.099356
0.100000 0.529099 0.045429 487 150 137 297 113 72 0.889668 784 660.939885
0.150000 0.510844 0.045538 525 212 218 233 99 99 0.909631 758 641.854658
0.200000 0.511730 0.039863 484 193 120 251 129 46 0.895238 735 620.603333
0.250000 0.510494 0.043324 490 175 53 216 96 20 0.911473 706 582.170350
0.300000 0.505289 0.039060 542 203 81 213 93 36 0.919868 755 640.514080
0.350000 0.493311 0.051539 498 161 27 209 82 17 0.913013 707 598.016839
0.400000 0.497132 0.040549 508 151 68 225 87 31 0.912688 733 626.394246
0.450000 0.492523 0.043338 513 208 50 182 85 18 0.921583 695 600.678958
0.500000 0.499184 0.042580 536 217 59 182 78 16 0.928273 718 617.862071
0.550000 0.505971 0.038134 473 191 59 189 90 24 0.919184 662 564.008290
0.600000 0.493775 0.043511 523 233 109 208 114 39 0.919973 731 616.440276
0.650000 0.477811 0.051146 501 238 151 171 87 44 0.930804 672 576.949797
0.700000 0.489338 0.046136 510 214 116 269 130 55 0.896021 779 647.425477
0.750000 0.477967 0.046803 491 216 13 219 110 2 0.911268 710 603.607919
0.800000 0.474863 0.057481 515 192 36 182 90 8 0.926112 697 586.286735
0.850000 0.481431 0.050668 498 218 18 190 93 8 0.922238 688 602.734908
0.900000 0.474362 0.047513 495 233 115 186 91 54 0.920705 681 582.685074
0.950000 0.462249 0.047937 509 220 146 210 104 56 0.919332 719 614.206157
