#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.523355 0.046605 394 154 146 303 140 99 0.862984 697 601.267383
0.050000 0.540227 0.044316 483 155 118 272 101 62 0.892053 755 640.628331
0.100000 0.538087 0.043673 500 153 109 261 105 49 0.899474 761 639.874516
0.150000 0.506911 0.054725 491 190 122 222 113 48 0.908135 713 606.060194
0.200000 0.521492 0.036844 500 184 49 210 92 17 0.914085 710 588.857492
0.250000 0.508572 0.047791 496 183 12 206 78 6 0.915242 702 609.419462
0.300000 0.505016 0.046789 491 176 11 183 73 3 0.924332 674 585.760155
0.350000 0.500655 0.040503 495 184 42 246 99 14 0.906208 741 624.896578
0.400000 0.491038 0.046531 528 152 71 194 66 21 0.924515 722 613.393220
0.450000 0.498090 0.039763 505 96 51 199 48 12 0.916903 704 614.095240
0.500000 0.489830 0.055026 494 251 138 169 97 38 0.928356 663 571.798414
0.550000 0.479924 0.052881 508 220 141 202 97 54 0.916901 710 615.653146
0.600000 0.480036 0.042603 487 219 60 173 94 13 0.925758 660 565.185665
0.650000 0.496226 0.046154 517 197 80 199 82 30 0.922486 716 606.205207
0.700000 0.485842 0.046794 472 251 162 196 122 49 0.915419 668 583.766536
0.750000 0.469846 0.051254 504 289 158 186 116 44 0.926812 690 602.137429
0.800000 0.489713 0.041882 501 219 30 222 103 9 0.908714 723 616.509759
0.850000 0.467852 0.055236 493 241 149 238 115 72 0.904241 731 618.470613
0.900000 0.467252 0.050738 490 177 49 210 77 27 0.910000 700 590.836487
0.950000 0.466797 0.048425 494 154 0 224 94 0 0.913649 718 611.921578
