#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.548259 0.042379 390 113 109 312 114 68 0.858974 702 594.561923
0.050000 0.543950 0.045843 443 191 100 241 117 36 0.896199 684 584.707920
0.100000 0.527468 0.045863 469 202 93 205 109 31 0.912463 674 574.037018
0.150000 0.520645 0.048535 491 276 120 190 117 49 0.922173 681 592.995148
0.200000 0.514254 0.037226 472 213 146 272 135 79 0.893817 744 628.427714
0.250000 0.493884 0.046333 467 215 153 243 129 68 0.902113 710 604.501165
0.300000 0.500733 0.041497 505 211 68 208 110 22 0.913043 713 611.669969
0.350000 0.494366 0.047125 497 245 103 199 105 48 0.922414 696 597.034645
