#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.565541 0.040564 334 126 105 356 155 90 0.816667 690 579.183585
0.050000 0.629073 0.034891 426 141 228 295 117 130 0.871012 721 602.847175
0.100000 0.621317 0.036300 426 138 118 289 119 76 0.869231 715 609.460026
0.150000 0.617485 0.039873 405 144 161 330 140 121 0.859864 735 606.044266
0.200000 0.612505 0.036452 429 148 211 311 142 132 0.868919 740 629.170791
0.250000 0.607621 0.036712 460 142 220 296 121 127 0.879630 756 630.330535
0.300000 0.613982 0.036617 443 149 206 346 162 129 0.870722 789 654.332710
0.350000 0.600289 0.042849 479 146 174 311 139 83 0.882278 790 653.253691
0.400000 0.596051 0.042025 444 139 165 306 115 114 0.868667 750 627.229645
0.450000 0.594892 0.038691 444 132 238 286 95 137 0.885616 730 620.288773
0.500000 0.595747 0.047621 490 109 230 309 111 117 0.881101 799 660.039197
0.550000 0.600245 0.038322 445 187 131 301 136 87 0.873324 746 627.088645
0.600000 0.594095 0.040995 459 177 137 266 109 83 0.889655 725 619.512437
0.650000 0.584247 0.038286 455 123 200 297 109 116 0.881649 752 624.606631
0.700000 0.589806 0.038255 477 143 198 313 125 105 0.882911 790 660.260695
0.750000 0.586531 0.037035 478 146 161 288 136 79 0.885770 766 637.341199
0.800000 0.583949 0.049511 436 133 166 278 117 90 0.884454 714 594.653696
0.850000 0.582399 0.043300 453 182 152 258 125 78 0.895218 711 593.746458
0.900000 0.590280 0.038651 500 133 134 273 114 58 0.895860 773 641.942540
0.950000 0.581709 0.038331 445 175 138 263 119 71 0.888418 708 603.287307
