#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.656130 0.032969 91 31 6 625 170 51 0.564944 716 610.553328
0.050000 0.731951 0.040714 141 28 75 569 133 323 0.652817 710 593.626362
0.100000 0.747034 0.034223 141 30 80 648 136 411 0.628010 789 651.761480
0.150000 0.758505 0.029963 134 26 94 607 140 384 0.635628 741 606.280530
0.200000 0.764601 0.028849 140 32 94 660 150 413 0.638750 800 639.966046
0.250000 0.776728 0.031573 163 25 96 631 145 348 0.632242 794 651.366006
0.300000 0.776909 0.030482 161 28 83 609 157 281 0.660390 770 629.632924
0.350000 0.780025 0.033082 188 40 133 575 144 363 0.669069 763 624.648825
0.400000 0.777726 0.029781 156 22 94 668 132 368 0.647451 824 671.397656
0.450000 0.784489 0.028477 165 40 104 637 150 376 0.661471 802 660.342241
0.500000 0.782301 0.033224 196 31 105 594 142 278 0.683544 790 649.307155
0.550000 0.789154 0.029578 174 36 107 600 130 371 0.673127 774 641.557739
0.600000 0.792468 0.030328 173 29 76 573 129 199 0.686327 746 609.242499
0.650000 0.794492 0.028043 206 41 140 603 145 361 0.695303 809 639.157636
0.700000 0.792164 0.027404 213 33 160 594 123 390 0.705700 807 664.605320
0.750000 0.797126 0.028095 207 50 111 575 125 335 0.704604 782 646.861591
0.800000 0.798064 0.027006 211 33 147 584 138 336 0.709434 795 634.465745
0.850000 0.795509 0.029063 212 50 139 530 131 318 0.725741 742 622.308491
0.900000 0.804398 0.026923 247 36 176 569 139 369 0.726716 816 666.080051
0.950000 0.796556 0.027104 217 21 139 607 129 309 0.702063 824 664.324625
