#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.537523 0.043814 385 85 20 368 116 17 0.842629 753 628.486433
0.050000 0.538606 0.045791 470 202 114 232 113 49 0.896011 702 599.826766
0.100000 0.516317 0.046787 475 208 111 199 95 43 0.914688 674 576.413763
0.150000 0.512484 0.044490 493 242 95 217 114 36 0.909859 710 600.109045
0.200000 0.503005 0.047540 495 215 64 202 101 27 0.917504 697 591.259273
0.250000 0.507687 0.046188 486 185 148 200 101 46 0.916910 686 579.068373
0.300000 0.495307 0.052170 528 234 174 231 109 70 0.913043 759 634.926735
0.350000 0.504347 0.043253 503 228 103 250 128 53 0.905046 753 632.740469
0.400000 0.480928 0.053576 512 200 41 191 92 7 0.926031 703 594.640624
0.450000 0.494049 0.039412 486 195 70 172 96 26 0.924772 658 575.470361
0.500000 0.479335 0.047442 497 236 177 180 100 44 0.922452 677 579.267671
0.550000 0.481655 0.047784 534 178 127 221 83 53 0.917881 755 640.507575
0.600000 0.489169 0.048978 480 244 113 191 111 36 0.923249 671 589.368592
0.650000 0.491327 0.043162 523 186 77 229 112 25 0.910904 752 634.915446
0.700000 0.481130 0.045584 472 203 57 209 100 25 0.914831 681 579.892066
0.750000 0.490304 0.041746 501 186 113 230 108 40 0.911081 731 615.491934
0.800000 0.484966 0.045267 505 234 47 163 80 15 0.929641 668 583.936081
0.850000 0.461737 0.056197 520 207 106 195 98 33 0.925175 715 610.874597
0.900000 0.493828 0.040082 508 241 150 212 112 54 0.918056 720 614.489671
0.950000 0.457128 0.048676 509 290 150 148 97 28 0.935312 657 570.857783
