#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.567443 0.048734 334 99 17 396 146 28 0.804795 730 615.972007
0.050000 0.628763 0.036250 393 122 106 336 117 77 0.847051 729 611.229695
0.100000 0.619863 0.041417 457 125 174 319 123 91 0.875000 776 652.680842
0.150000 0.615475 0.037483 425 129 164 341 132 133 0.860966 766 654.092516
0.200000 0.622732 0.040977 428 128 220 295 111 128 0.874827 723 604.377152
0.250000 0.607967 0.036466 462 145 156 319 129 103 0.871319 781 644.804660
0.300000 0.606276 0.039435 464 139 174 283 113 88 0.880857 747 630.846156
0.350000 0.610619 0.041690 464 130 79 275 115 48 0.886333 739 628.129769
