#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.529025 0.047501 343 149 101 387 187 83 0.811644 730 608.861823
0.050000 0.526185 0.044577 475 218 206 245 122 100 0.903472 720 612.555533
0.100000 0.553281 0.038606 516 184 51 216 80 18 0.913251 732 614.873653
0.150000 0.513110 0.049541 460 164 159 236 110 68 0.903736 696 598.595320
0.200000 0.517059 0.045685 480 178 104 251 114 47 0.896717 731 612.895311
0.250000 0.501456 0.049007 501 232 153 177 95 39 0.925516 678 594.591609
0.300000 0.499525 0.051291 490 182 134 219 104 47 0.911142 709 598.547186
0.350000 0.506466 0.041598 507 246 125 204 106 50 0.920534 711 602.059827
0.400000 0.508330 0.043010 532 268 167 155 85 48 0.934498 687 584.072876
0.450000 0.499869 0.044785 470 201 103 217 96 43 0.913392 687 579.504330
0.500000 0.487715 0.043102 510 251 60 219 111 32 0.914952 729 632.462044
0.550000 0.476266 0.048795 463 206 57 207 110 23 0.911940 670 571.863779
0.600000 0.465261 0.050044 482 260 43 191 87 20 0.916790 673 576.738108
