#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.521698 0.053166 404 141 63 317 129 27 0.861304 721 608.307155
0.050000 0.547512 0.041661 490 186 209 234 113 83 0.907459 724 602.133773
0.100000 0.538345 0.041366 487 173 85 197 83 36 0.915205 684 595.125114
0.150000 0.512736 0.051606 525 180 85 234 93 40 0.913702 759 640.128584
0.200000 0.526804 0.041061 470 211 64 233 107 28 0.903272 703 597.270037
0.250000 0.494633 0.054238 499 211 82 225 111 23 0.908840 724 614.187309
0.300000 0.508453 0.038880 441 187 103 256 129 53 0.893831 697 600.311159
0.350000 0.518397 0.036701 517 157 141 234 89 52 0.910120 751 637.461939
0.400000 0.505216 0.046408 519 178 150 218 88 55 0.915197 737 625.211361
0.450000 0.474818 0.046175 511 241 130 207 116 38 0.915738 718 613.924908
0.500000 0.476061 0.045546 483 184 34 190 92 7 0.921248 673 591.372317
0.550000 0.494894 0.040939 482 211 22 182 104 9 0.922440 664 562.914079
0.600000 0.500630 0.044029 514 203 32 182 75 15 0.925287 696 585.447908
0.650000 0.468841 0.054262 519 291 158 171 107 46 0.929710 690 610.599881
0.700000 0.484548 0.044437 513 185 14 231 96 5 0.909946 744 619.954127
0.750000 0.487185 0.050545 500 189 16 211 80 10 0.917018 711 608.252135
0.800000 0.477770 0.050001 498 284 140 209 116 64 0.915134 707 620.357263
0.850000 0.470699 0.044516 505 207 76 205 86 31 0.919718 710 604.763170
0.900000 0.485522 0.041042 484 212 6 218 101 4 0.914530 702 588.484417
0.950000 0.461345 0.050174 508 238 102 187 95 36 0.923741 695 586.955724
