#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.552965 0.048893 276 132 43 376 174 72 0.789877 652 553.692842
0.050000 0.622370 0.041504 409 104 98 405 153 76 0.831695 814 674.163448
0.100000 0.628019 0.044113 428 167 211 346 124 162 0.858527 774 649.464285
0.150000 0.612456 0.036841 448 116 241 355 139 156 0.861146 803 674.837353
0.200000 0.615560 0.040218 465 117 230 322 93 137 0.874206 787 660.406901
0.250000 0.604899 0.042454 449 114 195 288 98 94 0.881275 737 625.525134
0.300000 0.614305 0.043140 424 149 176 279 126 85 0.880512 703 601.595298
0.350000 0.597673 0.044083 447 136 222 301 113 124 0.883690 748 637.987478
0.400000 0.607794 0.034005 450 117 227 330 123 151 0.874359 780 645.066403
0.450000 0.602521 0.039099 473 150 152 296 119 61 0.880364 769 632.896634
0.500000 0.596390 0.045188 448 116 72 339 128 45 0.867217 787 658.431720
