#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.551910 0.047575 383 185 92 361 170 89 0.825941 744 636.316526
0.050000 0.591744 0.035390 426 133 84 311 134 50 0.870421 737 623.437695
0.100000 0.579450 0.043182 453 143 166 279 107 86 0.887978 732 616.598217
0.150000 0.561981 0.040833 471 165 166 235 91 76 0.896601 706 603.481535
0.200000 0.571569 0.040717 492 165 214 287 119 108 0.888960 779 667.506944
0.250000 0.568474 0.039418 489 155 202 253 103 80 0.898922 742 623.925852
0.300000 0.562663 0.038507 451 187 190 240 112 87 0.896527 691 594.464912
0.350000 0.560284 0.037515 500 156 209 258 96 103 0.895778 758 636.306844
0.400000 0.553636 0.040680 499 198 110 241 105 50 0.903378 740 632.594038
0.450000 0.548053 0.040963 497 172 108 248 108 43 0.903356 745 632.094338
0.500000 0.551566 0.039416 498 177 136 255 107 58 0.901062 753 635.017333
0.550000 0.545790 0.039175 499 191 176 282 130 80 0.894366 781 648.823851
0.600000 0.544757 0.043157 493 146 73 262 96 32 0.896026 755 632.753763
0.650000 0.534293 0.042287 488 206 170 215 106 67 0.906828 703 607.075808
0.700000 0.530331 0.044086 470 184 185 228 116 74 0.907593 698 595.262317
0.750000 0.535906 0.039801 479 174 104 298 148 47 0.882883 777 652.989944
0.800000 0.550153 0.045610 443 163 31 241 112 14 0.893275 684 587.546553
0.850000 0.534206 0.043659 462 167 233 288 128 126 0.886667 750 619.925411
0.900000 0.535516 0.039950 468 187 206 294 130 108 0.881890 762 633.648322
0.950000 0.536698 0.040485 488 160 174 224 99 59 0.911517 712 607.534858
