#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.567509 0.043666 318 86 54 401 131 60 0.800417 719 610.803669
0.050000 0.625780 0.044275 396 153 79 295 131 55 0.855282 691 588.564212
0.100000 0.622818 0.041628 422 144 163 348 125 123 0.849351 770 638.276547
0.150000 0.619850 0.038667 469 147 131 287 115 56 0.879630 756 635.173533
0.200000 0.609863 0.040855 408 156 115 308 141 79 0.866620 716 603.373501
0.250000 0.607161 0.041566 435 153 189 291 142 107 0.880165 726 610.979093
0.300000 0.606403 0.043722 442 198 127 245 126 58 0.891557 687 588.889553
0.350000 0.597521 0.039172 464 122 111 335 123 67 0.874218 799 665.551867
0.400000 0.603407 0.040626 471 139 204 293 128 92 0.880890 764 639.208028
0.450000 0.604516 0.039778 423 180 164 271 140 93 0.881844 694 593.704132
0.500000 0.598058 0.037377 437 138 196 323 125 126 0.863816 760 639.462270
0.550000 0.597750 0.039584 449 149 216 280 109 117 0.888203 729 622.603070
0.600000 0.589141 0.041149 473 148 228 306 108 131 0.884467 779 650.821497
0.650000 0.590179 0.040007 444 126 196 323 120 99 0.875489 767 637.768067
0.700000 0.587458 0.038893 465 187 169 265 138 81 0.890411 730 615.028352
0.750000 0.589979 0.042333 439 137 242 324 124 147 0.874181 763 631.010672
0.800000 0.585037 0.041085 465 160 210 276 104 102 0.885290 741 616.572781
0.850000 0.587170 0.040712 469 135 197 331 130 100 0.880625 800 668.125223
0.900000 0.582516 0.038376 422 184 161 278 153 88 0.880000 700 595.254356
0.950000 0.575600 0.041947 445 130 107 310 114 55 0.874834 755 628.415119
