#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.545122 0.041120 404 102 17 314 110 12 0.854457 718 607.127938
0.050000 0.592966 0.034026 428 186 135 301 144 87 0.873800 729 615.870619
0.100000 0.584794 0.040010 453 156 171 296 122 88 0.881175 749 630.306158
0.150000 0.573934 0.035314 457 133 96 255 103 43 0.891854 712 602.137323
0.200000 0.564615 0.040161 499 172 182 272 101 90 0.899481 771 646.707187
0.250000 0.559850 0.040796 459 180 181 231 121 62 0.900725 690 592.198358
0.300000 0.560842 0.037418 483 160 112 300 100 86 0.887612 783 665.193025
0.350000 0.557482 0.038609 485 197 118 248 112 61 0.896999 733 622.920160
0.400000 0.543559 0.045256 481 173 58 236 99 24 0.900976 717 612.104659
0.450000 0.546800 0.041070 491 190 80 229 100 30 0.905556 720 611.286439
0.500000 0.554126 0.035460 467 201 104 283 122 66 0.884667 750 627.000285
0.550000 0.546488 0.039851 484 204 131 246 111 54 0.902740 730 622.492609
